Species,Units,Date,Year,Month,Day,Time,Value
NO,ug m-3,08/01/2017,2017,01,08,16,7.2
NO,ug m-3,08/01/2017,2017,01,08,17,18.5
NO,ug m-3,08/01/2017,2017,01,08,18,12.2
NO,ug m-3,08/01/2017,2017,01,08,19,14.4
NO,ug m-3,08/01/2017,2017,01,08,20,19.9
NO,ug m-3,08/01/2017,2017,01,08,21,17.7
NO,ug m-3,08/01/2017,2017,01,08,22,20.3
NO,ug m-3,08/01/2017,2017,01,08,23,10.1
NO,ug m-3,09/01/2017,2017,01,09,0,1.3
NO,ug m-3,09/01/2017,2017,01,09,1,1.6
NO,ug m-3,09/01/2017,2017,01,09,2,1.5
NO,ug m-3,09/01/2017,2017,01,09,3,2.5
NO,ug m-3,09/01/2017,2017,01,09,4,2.5
NO,ug m-3,09/01/2017,2017,01,09,5,3.5
NO,ug m-3,09/01/2017,2017,01,09,6,6.9
NO,ug m-3,09/01/2017,2017,01,09,7,10.2
NO,ug m-3,09/01/2017,2017,01,09,8,11.1
NO,ug m-3,09/01/2017,2017,01,09,9,14.5
NO,ug m-3,09/01/2017,2017,01,09,10,14.3
NO,ug m-3,09/01/2017,2017,01,09,11,9.3
NO,ug m-3,09/01/2017,2017,01,09,12,8.6
NO,ug m-3,09/01/2017,2017,01,09,13,9.4
NO,ug m-3,09/01/2017,2017,01,09,14,7.1
NO,ug m-3,09/01/2017,2017,01,09,15,4.9
NO,ug m-3,09/01/2017,2017,01,09,16,4.2
NO,ug m-3,09/01/2017,2017,01,09,17,3.9
NO,ug m-3,09/01/2017,2017,01,09,18,14.3
NO,ug m-3,09/01/2017,2017,01,09,19,9.6
NO,ug m-3,09/01/2017,2017,01,09,20,11.1
NO,ug m-3,09/01/2017,2017,01,09,21,13.8
NO,ug m-3,09/01/2017,2017,01,09,22,11.8
NO,ug m-3,09/01/2017,2017,01,09,23,5.4
NO,ug m-3,10/01/2017,2017,01,10,0,4.6
NO,ug m-3,10/01/2017,2017,01,10,1,3.0
NO,ug m-3,10/01/2017,2017,01,10,2,3.0
NO,ug m-3,10/01/2017,2017,01,10,3,2.6
NO,ug m-3,10/01/2017,2017,01,10,4,3.2
NO,ug m-3,10/01/2017,2017,01,10,5,6.9
NO,ug m-3,10/01/2017,2017,01,10,6,9.7
NO,ug m-3,10/01/2017,2017,01,10,7,26.9
NO,ug m-3,10/01/2017,2017,01,10,8,55.6
NO,ug m-3,10/01/2017,2017,01,10,9,66.4
NO,ug m-3,10/01/2017,2017,01,10,10,71.2
NO,ug m-3,10/01/2017,2017,01,10,11,43.4
NO,ug m-3,10/01/2017,2017,01,10,12,32.9
NO,ug m-3,10/01/2017,2017,01,10,13,29.4
NO,ug m-3,10/01/2017,2017,01,10,14,18.9
NO,ug m-3,10/01/2017,2017,01,10,15,34.5
NO,ug m-3,10/01/2017,2017,01,10,16,21.5
NO,ug m-3,10/01/2017,2017,01,10,17,28.0
NO,ug m-3,10/01/2017,2017,01,10,18,34.3
NO,ug m-3,10/01/2017,2017,01,10,19,19.1
NO,ug m-3,10/01/2017,2017,01,10,20,17.0
NO,ug m-3,10/01/2017,2017,01,10,21,9.4
NO,ug m-3,10/01/2017,2017,01,10,22,10.2
NO,ug m-3,10/01/2017,2017,01,10,23,4.1
NO,ug m-3,11/01/2017,2017,01,11,0,2.3
NO,ug m-3,11/01/2017,2017,01,11,1,1.5
NO,ug m-3,11/01/2017,2017,01,11,2,1.3
NO,ug m-3,11/01/2017,2017,01,11,3,1.3
NO,ug m-3,11/01/2017,2017,01,11,4,3.1
NO,ug m-3,11/01/2017,2017,01,11,5,4.7
NO,ug m-3,11/01/2017,2017,01,11,6,15.4
NO,ug m-3,11/01/2017,2017,01,11,7,24.1
NO,ug m-3,11/01/2017,2017,01,11,8,37.2
NO,ug m-3,11/01/2017,2017,01,11,9,65.6
NO,ug m-3,11/01/2017,2017,01,11,10,44.7
NO,ug m-3,11/01/2017,2017,01,11,11,16.6
NO,ug m-3,11/01/2017,2017,01,11,12,19.9
NO,ug m-3,11/01/2017,2017,01,11,13,15.6
NO,ug m-3,11/01/2017,2017,01,11,14,11.9
NO,ug m-3,11/01/2017,2017,01,11,15,9.1
NO,ug m-3,11/01/2017,2017,01,11,16,15.8
NO,ug m-3,11/01/2017,2017,01,11,17,15.8
NO,ug m-3,11/01/2017,2017,01,11,18,13.9
NO,ug m-3,11/01/2017,2017,01,11,19,12.8
NO,ug m-3,11/01/2017,2017,01,11,20,5.9
NO,ug m-3,11/01/2017,2017,01,11,21,6.9
NO,ug m-3,11/01/2017,2017,01,11,22,4.5
NO,ug m-3,11/01/2017,2017,01,11,23,4.0
NO,ug m-3,12/01/2017,2017,01,12,0,4.2
NO,ug m-3,12/01/2017,2017,01,12,1,2.9
NO,ug m-3,12/01/2017,2017,01,12,2,1.9
NO,ug m-3,12/01/2017,2017,01,12,3,0.9
NO,ug m-3,12/01/2017,2017,01,12,4,2.1
NO,ug m-3,12/01/2017,2017,01,12,5,3.0
NO,ug m-3,12/01/2017,2017,01,12,6,5.8
NO,ug m-3,12/01/2017,2017,01,12,7,8.4
NO,ug m-3,12/01/2017,2017,01,12,8,13.8
NO,ug m-3,12/01/2017,2017,01,12,9,16.7
