Species,Units,Date,Year,Month,Day,Time,Value,Weekday
NO,ug m-3,09/01/2017,2017,1,9,9,7.25,MON
NO,ug m-3,09/01/2017,2017,1,9,10,7.15,MON
NO,ug m-3,09/01/2017,2017,1,9,11,4.65,MON
NO,ug m-3,09/01/2017,2017,1,9,12,4.3,MON
NO,ug m-3,09/01/2017,2017,1,9,13,4.7,MON
NO,ug m-3,09/01/2017,2017,1,9,14,3.55,MON
NO,ug m-3,09/01/2017,2017,1,9,15,2.45,MON
NO,ug m-3,09/01/2017,2017,1,9,16,2.1,MON
NO,ug m-3,09/01/2017,2017,1,9,17,1.95,MON
NO,ug m-3,09/01/2017,2017,1,9,18,7.15,MON
NO,ug m-3,09/01/2017,2017,1,9,19,4.8,MON
NO,ug m-3,09/01/2017,2017,1,9,20,33.3,MON
NO,ug m-3,09/01/2017,2017,1,9,21,41.400000000000006,MON
NO,ug m-3,09/01/2017,2017,1,9,22,35.400000000000006,MON
NO,ug m-3,09/01/2017,2017,1,9,23,16.200000000000003,MON
NO,ug m-3,10/01/2017,2017,1,10,0,2.3,TUE
NO,ug m-3,10/01/2017,2017,1,10,1,1.5,TUE
NO,ug m-3,10/01/2017,2017,1,10,2,1.5,TUE
NO,ug m-3,10/01/2017,2017,1,10,3,1.3,TUE
NO,ug m-3,10/01/2017,2017,1,10,4,1.6,TUE
NO,ug m-3,10/01/2017,2017,1,10,5,3.45,TUE
NO,ug m-3,10/01/2017,2017,1,10,6,4.85,TUE
NO,ug m-3,10/01/2017,2017,1,10,7,13.45,TUE
NO,ug m-3,10/01/2017,2017,1,10,8,27.8,TUE
NO,ug m-3,10/01/2017,2017,1,10,9,33.2,TUE
NO,ug m-3,10/01/2017,2017,1,10,10,35.6,TUE
NO,ug m-3,10/01/2017,2017,1,10,11,21.7,TUE
NO,ug m-3,10/01/2017,2017,1,10,12,16.45,TUE
NO,ug m-3,10/01/2017,2017,1,10,13,14.7,TUE
NO,ug m-3,10/01/2017,2017,1,10,14,9.45,TUE
NO,ug m-3,10/01/2017,2017,1,10,15,17.25,TUE
NO,ug m-3,10/01/2017,2017,1,10,16,10.75,TUE
NO,ug m-3,10/01/2017,2017,1,10,17,14.0,TUE
NO,ug m-3,10/01/2017,2017,1,10,18,17.15,TUE
NO,ug m-3,10/01/2017,2017,1,10,19,9.55,TUE
NO,ug m-3,10/01/2017,2017,1,10,20,51.0,TUE
NO,ug m-3,10/01/2017,2017,1,10,21,28.200000000000003,TUE
NO,ug m-3,10/01/2017,2017,1,10,22,30.599999999999998,TUE
